笔记链接,评论id,评论者昵称,评论者id,评论时间,评论IP属地,评论点赞数,评论内容,评论级别,评论目标id
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6736356a0000000017026cb7,笨蛋大苞谷,602bdfd4000000000101da7b,1731605867000,陕西,0,和人说话是挑着说的  是三思之后的真心话,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,67363007000000001a0250b9,Momo,59bcb9a06a6a691d46458deb,1731604488000,重庆,3,可能见第一面就愿意说 ，看人。,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,67362b3f000000001a01037f,Leyrics,657e7730000000002002dde2,1731603263000,湖南,0,那可太难了[再见R],0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,673690ae00000000170252a5,阿门阿前,6280c14b000000002102b28a,1731629231000,辽宁,1,和喜欢的人，但也要确定她也很爱我才会说,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6736124f00000000190020cd,殿下,5acc4b73e8ac2b7a7c6419a7,1731596879000,马来西亚,3,喝醉会说真心话 平时是打死都不讲,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,673647380000000002005252,太阳不迷路,61a7768b000000001000e98c,1731610425000,河南,2,[吃瓜R]真的心里话谁也不说，能说出来的都是无所谓的了,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6736362c000000001b03624b,墨桉,58228402a9b2ed484150a133,1731606061000,山东,1,把不住嘴[哭惹R],0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6735e169000000001a0326bf,Adore,5e4e16780000000001007a77,1731584361000,辽宁,3,最心底的事谁都不会说,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6735dcdd000000001b006255,袁袁周周率率,615e69f40000000002023d25,1731583198000,内蒙古,1,现在是不想和任何人说    自己打出来  然后删掉[笑哭R],0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6735c533000000001b022c84,我要活下去,5ad6e7c611be104cf6f322ae,1731577139000,海南,2,我会跟陌生人说,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6735eb1a000000001a01907c,每天都想摆烂,64c36e2d0000000025037aa3,1731586843000,四川,2,我会给稍微熟悉的陌生人说一点，但不能说太深[笑哭R],1,6735c533000000001b022c84
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,673588190000000017026133,左梦柒和豌豆儿,57b9c3fc6a6a6910c6665f73,1731561498000,四川,5,一般熟的人不会说，闺蜜的程度才会说，也经不起别人真诚对你，别人一走心就要同等回报[笑哭R][笑哭R][笑哭R],0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,67379912000000001b02040a,i律,5e0ef76f00000000010021cf,1731696914000,安徽,0,很久,0,
